Date,SP,Marker,Nests,Left Tag,Rigth Tag,Nº Nido,NORTE ,ESTE,,,
2020-08-04,Ei,1,N,,,DB108Ei,9.42863,-82.31899,,,
2020-08-04,Ei,9,N,,,DB109Ei,9.42796,-82.31150,,,
2020-08-05,Ei,3,N,,,DB110Ei,9.42854,-82.31769,,,
2020-08-06,Ei,4,N,,,DB111Ei,9.42837,-82.31683,,,
2020-08-08,Ei,3,N,,,DB112Ei,9.42862,-82.31782,,,
2020-08-10,Ei,4,N,,,DB113Ei,9.42838,-82.31685,,,
2020-08-11,Ei,Gundula,N,,,DB114Ei,9.43167,-82.30298,,,
2020-08-11,Ei,11,N,,,DB115Ei,9.42795,-82.30981,,,
2020-08-12,Ei,8,N,,,DB116Ei,9.42805,-82.31277,,,
2020-08-13,Ei,12,N,,,DB117Ei,9.42806,-82.30943,,,
2020-08-14,Ei,8,N,,,DB118Ei,9.42800,-82.31267,,,
2020-08-15,Ei,11,N,,,DB119Ei,9.42797,-82.30975,,,
2020-08-16,Ei,Gundula,N,,,DB120Ei ,9.43163,-82.30335,,,
2020-08-17,Ei,2,N,,,DB121Ei,9.47868,-82.31847,,,
2020-08-18,Ei,4,N,,,DB122Ei,9.42836,-82.31676,,,
2020-08-19,Ei,Gundula,N,,,DB123Ei,9.43155,-82.30407,,,
2020-08-22,Ei,3,N,,,DB124Ei,,,,,
2020-08-23,Ei,Gundula,N,,,DB125Ei,9.43157,-82.30378,,,
2020-08-26,Ei,Gundula,N,,,DB126Ei,9.43158,-82.30374,,,
2020-08-27,Ei,16,N,,,DB127Ei,9.43004,-82.30385,,,
2020-08-27,Ei,9,N,,,DB128Ei,9.42796,-82.31172,,,
2020-08-27,Ei,4,N,,,DB129Ei,,,,,
2020-08-28,Ei,8,N,,,DB130Ei,9.42803,-82.31293,,,
2020-08-28,Ei,14,N,,,DB131Ei,9.42855,-82.30341,,,
2020-08-29,Ei,11,N,,,DB132Ei,9.42798,-82.30976,,,
2020-08-30,Ei,7,N,,,DB133Ei,9.42836,-82.31414,,,
2020-09-01,Ei,4,N,,,DB134Ei,9.42837,-82.31680,,,
2020-09-02,Ei,1,N,,,DB135Ei,9.42873,-82.31910,,,
2020-09-04,Ei,Cate & Alex,N,,,DB136Ei,9.43229,-82.30115,,,
2020-09-04,Ei,Cate & Alex,N,,,DB137Ei,9.43228,-82.30117,,,
2020-09-06,Ei,Gundula,N,,,DB138Ei,9.43154,-82.30381,,,
2020-09-09,Ei,3,N,,,DB139Ei,9.42855,-82.31768,,,
2020-09-10,Ei,2,N,,,DB140Ei,9.42864,-82.31848,,,
2020-09-11,Ei,8,N,,,DB141Ei,9.42804,-82.31307,,,
2020-09-14,Ei,4,N,,,DB142Ei,9.42834,-82.31625,,,
2020-09-14,Ei,1,N,,,DB143Ei,9.42877,-82.31884,,,
2020-09-18,Ei,Gundula,N,,,DB144Ei,9.43150,-82.30396,,,
2020-09-21,Ei,7,N,,,DB145Ei,9.42834,-82.31575,,,
2020-09-22,Ei,2,N,,,DB146Ei,9.42852,-82.31817,,,
2020-09-23,Ei,9,N,,,DB147Ei,9.42795,-82.31205,,,
2020-09-28,Ei,5,N,,,DB148Ei,9.42831,-82.31547,,,
2020-09-30,Ei,Gundula,N,,,DB149Ei,9.93196,-82.30405,,,
2020-10-05,Ei,Gundula,N,,,DB150Ei,9.43151,-82.30389,,,
2020-10-12,Ei,3,N,,,DB151Ei,9.42850,-82.31792,,,
2020-10-14,Ei,Gundula,N,,,DB152Ei,9.43140,-82.30433,,,
2020-10-14,Ei,5,N,,,DB153Ei,9.42835,-82.31577,,,
